data,cenario_retrospectivo,cenario_sem_lookahead,classificacoes_concordam
2022-01-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2022-02-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2022-03-01,Crescimento com alerta,Crescimento com alerta,True
2022-04-01,Crescimento com alerta,Crescimento com alerta,True
2022-05-01,Crescimento com alerta,Crescimento com alerta,True
2022-06-01,Deterioracao do risco,Crescimento com alerta,False
2022-07-01,Deterioracao do risco,Deterioracao do risco,True
2022-08-01,Aperto com deterioração,Aperto com deterioração,True
2022-09-01,Aperto com deterioração,Aperto com deterioração,True
2022-10-01,Aperto com deterioração,Aperto com deterioração,True
2022-11-01,Aperto com deterioração,Aperto com deterioração,True
2022-12-01,Aperto com deterioração,Aperto com deterioração,True
2023-01-01,Aperto com deterioração,Aperto com deterioração,True
2023-02-01,Aperto com deterioração,Aperto com deterioração,True
2023-03-01,Aperto com deterioração,Aperto com deterioração,True
2023-04-01,Aperto com deterioração,Aperto com deterioração,True
2023-05-01,Aperto com deterioração,Aperto com deterioração,True
2023-06-01,Aperto com deterioração,Aperto com deterioração,True
2023-07-01,Aperto com deterioração,Aperto com deterioração,True
2023-08-01,Transicao/estabilidade,Transicao/estabilidade,True
2023-09-01,Transicao/estabilidade,Recuperacao do risco,False
2023-10-01,Recuperacao do risco,Recuperacao do risco,True
2023-11-01,Recuperacao do risco,Recuperacao do risco,True
2023-12-01,Recuperacao do risco,Recuperacao do risco,True
2024-01-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-02-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-03-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-04-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-05-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-06-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-07-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-08-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-09-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-10-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-11-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2024-12-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2025-01-01,Expansão sem deterioração observada,Expansão sem deterioração observada,True
2025-02-01,Crescimento com alerta,Crescimento com alerta,True
2025-03-01,Crescimento com alerta,Crescimento com alerta,True
2025-04-01,Crescimento com alerta,Crescimento com alerta,True
2025-05-01,Crescimento com alerta,Crescimento com alerta,True
2025-06-01,Crescimento com alerta,Crescimento com alerta,True
2025-07-01,Crescimento com alerta,Crescimento com alerta,True
2025-08-01,Crescimento com alerta,Crescimento com alerta,True
2025-09-01,Crescimento com alerta,Crescimento com alerta,True
2025-10-01,Crescimento com alerta,Crescimento com alerta,True
2025-11-01,Crescimento com alerta,Crescimento com alerta,True
2025-12-01,Deterioracao do risco,Deterioracao do risco,True
